"","thres","n","snr","test","power"
"259",0.05,450,15.28,"URXOP2",1
"260",0.05,450,15.28,"URXOP4",0.75
"261",0.05,450,15.28,"URXOP6",0.21
"262",0.05,450,15.28,"URXOP1",1
"263",0.05,450,15.28,"URXOP3",0.71
"264",0.05,450,15.28,"URXOP5",0.71
"265",0.05,460,14.55,"URXOP2",1
"266",0.05,460,14.55,"URXOP4",0.84
"267",0.05,460,14.55,"URXOP6",0.32
"268",0.05,460,14.55,"URXOP1",1
"269",0.05,460,14.55,"URXOP3",0.74
"270",0.05,460,14.55,"URXOP5",0.73
"271",0.05,470,14.55,"URXOP2",0.99
"272",0.05,470,14.55,"URXOP4",0.76
"273",0.05,470,14.55,"URXOP6",0.24
"274",0.05,470,14.55,"URXOP1",1
"275",0.05,470,14.55,"URXOP3",0.73
"276",0.05,470,14.55,"URXOP5",0.7
"277",0.05,480,14.95,"URXOP2",1
"278",0.05,480,14.95,"URXOP4",0.81
"279",0.05,480,14.95,"URXOP6",0.2
"280",0.05,480,14.95,"URXOP1",1
"281",0.05,480,14.95,"URXOP3",0.72
"282",0.05,480,14.95,"URXOP5",0.64
"283",0.05,490,14.78,"URXOP2",0.99
"284",0.05,490,14.78,"URXOP4",0.76
"285",0.05,490,14.78,"URXOP6",0.28
"286",0.05,490,14.78,"URXOP1",1
"287",0.05,490,14.78,"URXOP3",0.74
"288",0.05,490,14.78,"URXOP5",0.76
"289",0.05,500,14.87,"URXOP2",1
"290",0.05,500,14.87,"URXOP4",0.77
"291",0.05,500,14.87,"URXOP6",0.25
"292",0.05,500,14.87,"URXOP1",1
"293",0.05,500,14.87,"URXOP3",0.78
"294",0.05,500,14.87,"URXOP5",0.77
"295",0.05,510,15.18,"URXOP2",1
"296",0.05,510,15.18,"URXOP4",0.78
"297",0.05,510,15.18,"URXOP6",0.2
"298",0.05,510,15.18,"URXOP1",1
"299",0.05,510,15.18,"URXOP3",0.68
"300",0.05,510,15.18,"URXOP5",0.78
"301",0.05,520,15.05,"URXOP2",1
"302",0.05,520,15.05,"URXOP4",0.81
"303",0.05,520,15.05,"URXOP6",0.26
"304",0.05,520,15.05,"URXOP1",1
"305",0.05,520,15.05,"URXOP3",0.64
"306",0.05,520,15.05,"URXOP5",0.85
"307",0.05,530,14.86,"URXOP2",1
"308",0.05,530,14.86,"URXOP4",0.86
"309",0.05,530,14.86,"URXOP6",0.21
"310",0.05,530,14.86,"URXOP1",1
"311",0.05,530,14.86,"URXOP3",0.71
"312",0.05,530,14.86,"URXOP5",0.78
"313",0.05,540,14.79,"URXOP2",1
"314",0.05,540,14.79,"URXOP4",0.74
